title,num_peaks,search_mean,search_volume,budget,genres,original_language,production_companies,production_countries,release_date,runtime,weekend_rev,weekend_rev_mean,num_theaters,success,day,month,holiday,year,log_budget,log_weekend_rev,log_weekend_rev_mean,views,likes,dislikes,dt_main,dt_trailers,dt_trailers_cat,views_proxy,like_score,like_score_proxy,log_views,log_like_score,log_search_mean,log_search_volume,log_views_proxy,log_like_score_proxy
127 Hours,1,6.4423076923076925,335,18000000,"['Adventure', 'Drama', 'Thriller']",en,"['Fox Searchlight Pictures', 'Warner Bros.', 'Cloud Eight Films', 'Pathé', 'Film4', 'Everest Entertainment', 'HandMade Films']","['United Kingdom', 'United States of America']",2010-11-05,94.0,264851,66213,4.0,0.014713944444444444,Fri,Nov,Yes,2010,7.255272505103306,5.423001617043797,4.820943265481824,6420394.5,14847.5,356.5,75,0,zero,176773.0,6269850.522148777,172628.06613391213,6.8075617140360425,6.797257187054036,0.8090414634020461,2.525044807036845,5.247415932359936,12.058894652372317
2 Guns,2,12.807692307692308,666,61000000,"['Action', 'Comedy', 'Crime']",en,"['Universal Studios', 'Marc Platt Productions', 'Emmett/Furla Films', 'Envision Entertainment Corporation']",['United States of America'],2013-08-02,109.0,27059130,8945,3025.0,0.4435922950819672,Fri,Aug,No,2013,7.785329835010767,7.432313829132513,3.9515803449033924,136371.0,569.0,19.0,124,-70,neg,9543.0,131964.45408163266,9234.637755102041,5.1347220251663,5.120456965485233,1.107470885535502,2.823474229170301,3.9796849238270258,9.130716666644958
20th Century Women,4,11.942307692307692,621,7000000,['Drama'],en,"['Annapurna Pictures', 'Archer Gray', 'Modern People']",['United States of America'],2016-12-25,119.0,111200,27800,4.0,0.015885714285714284,Sun,Dec,Yes,2016,6.845098040014258,5.046104787246039,4.444044795918076,333502.0,1630.0,222.0,42,70,pos,71970.0,293524.97840172786,63342.92656587473,5.523098442709418,5.46764506476746,1.077088256541781,2.79309160017658,4.857151502687493,11.056318523096534
21 Jump Street,1,9.11320754716981,483,42000000,"['Action', 'Comedy', 'Crime']",en,"['Columbia Pictures', 'Original Film', 'Stephen J. Cannell Productions', 'Relativity Media', 'Metro-Goldwyn-Mayer (MGM)']",['United States of America'],2012-03-12,109.0,36302612,11632,3121.0,0.8643479047619048,Mon,Mar,No,2012,7.623249290397902,7.559937873972093,4.065654393514962,3797745.0,6730.0,318.0,134,0,zero,222226.0,3626393.8493189556,212199.34449489217,6.579525800629857,6.559474969449842,0.9596712611507231,2.683947130751512,5.346794869168094,12.26528141606626
30 Minutes or Less,2,10.264150943396226,544,28000000,"['Action', 'Adventure', 'Comedy']",en,['Columbia Pictures'],"['United States of America', 'Germany', 'Canada']",2011-08-11,83.0,13330118,4616,2888.0,0.4760756428571429,Thu,Aug,No,2011,7.447158031342219,7.124833993864125,3.6642658001476747,233588.0,601.5,25.5,116,0,zero,10900.0,224088.009569378,10456.698564593302,5.368450528219277,5.350418619064425,1.0113230300973908,2.73559889969818,4.037426497940624,9.254998062999048
42,2,20.346153846153847,1058,40000000,['Drama'],en,['Warner Bros.'],['United States of America'],2013-04-12,128.0,27487144,9153,3003.0,0.6871786,Fri,Apr,No,2013,7.602059991327962,7.439129617636268,3.9615634623620695,196757.66666666663,634.6666666666666,25.33333333333333,89,112,pos,20167.0,189205.35218855215,19392.91313131313,5.293931663654524,5.276933417441448,1.3084823240643677,3.024485667699167,4.30464129829467,9.872662975802571
47 Ronin,1,5.461538461538462,284,175000000,"['Drama', 'Action', 'Adventure', 'Fantasy']",en,"['Mid Atlantic Films', 'Stuber Productions', 'Universal', 'Moving Picture Company (MPC)', 'H2F Entertainment']",['United States of America'],2013-12-06,119.0,9910310,3686,2689.0,0.056630342857142864,Fri,Dec,Yes,2013,8.243038048686293,6.99608723967031,3.5665553308830553,447431.0,332.0,23.0,138,0,zero,37196.0,418442.51267605636,34786.11830985916,5.650726070646922,5.621635801295865,0.7373149964122385,2.4533183400470375,4.5704962390396675,10.456973687039161
5 Flights Up,1,1.9230769230769231,100,6000000,['Drama'],en,"['Revelations Entertainment', 'Lascaux Films', 'Latitude Productions']",['United States of America'],2014-09-05,92.0,238491,2741,87.0,0.0397485,Fri,Sep,Yes,2014,6.778151250383644,5.3774719945958935,3.4379090355394983,997325.0,2656.0,129.0,362,0,zero,224104.0,951129.3357271095,213723.59928186715,5.998836705660125,5.978239576846357,0.28399665636520083,2.0,5.350449608263862,12.27243886703914
50 to 1,3,10.788461538461538,561,10000000,"['Comedy', 'Drama']",en,['Ten Furlongs'],['United States of America'],2014-03-21,110.0,78480,4131,19.0,0.007848,Fri,Mar,No,2014,7.0,4.894758994371892,3.616055194976586,473294.0,675.0,27.0,96,266,pos,96308.0,455090.3846153846,92603.84615384616,5.675130998904064,5.658097659605284,1.0329595176213622,2.748962861256161,4.983662364087664,11.436085954910439
99 Homes,3,6.1923076923076925,322,8000000,['Drama'],en,"['Imagenation Abu Dhabi FZ', 'Hyde Park Entertainment', 'Broad Green Pictures', 'Noruz Films']",['United States of America'],2014-10-09,112.0,32253,16127,2.0,0.004031625,Thu,Oct,Yes,2014,6.903089986991943,4.508570116579046,4.207553585949307,744053.0,551.0,22.0,46,189,pos,120588.0,715485.520069808,115958.0942408377,5.87160387208853,5.854600848972924,0.7918525280610318,2.507855871695831,5.081304092272786,11.660984148275134
A Better Life,2,9.365384615384615,487,10000000,['Drama'],en,"['Summit Entertainment', 'Witt/Thomas Productions', 'Depth of Field', 'McLaughlin Films', 'Lime Orchard Productions']",['United States of America'],2011-06-24,98.0,62087,15522,4.0,0.006208699999999999,Fri,Jun,No,2011,7.0,4.7930006755502435,4.190947679100187,10512.0,10.0,0.0,159,-112,neg,649.0,10512.0,649.0,4.021685352215705,4.021685352215705,0.9715256175798351,2.6875289612146345,2.812244696800369,6.47543271670409
A Cure for Wellness,2,13.830188679245284,733,40000000,"['Mystery', 'Thriller', 'Horror', 'Science Fiction']",en,"['Studio Babelsberg', 'Regency Enterprises', 'Twentieth Century Fox', 'New Regency Pictures', 'TSG Entertainment', 'Blind Wink Productions']","['Germany', 'United States of America']",2017-02-15,146.0,4356941,1611,2704.0,0.108923525,Wed,Feb,Yes,2017,7.602059991327962,6.639181678928658,3.2070955404192185,5690667.4,6984.2,461.4,59,63,pos,1455475.0,5338019.670017192,1365279.9633340498,6.7551632033265125,6.727380169781984,1.140828105040339,2.8651039746411278,6.163004750169682,14.12687006691442
A Hologram for the King,3,5.132075471698113,272,30000000,"['Comedy', 'Drama']",en,"['X-Filme Creative Pool', 'Kasbah-Film Tanger', 'Playtone', '22h22', 'Fábrica de Cine', 'Primeridian Entertainment']","['Mexico', 'France', 'Germany', 'United Kingdom', 'United States of America']",2016-04-22,97.0,1138578,2839,401.0,0.0379526,Fri,Apr,No,2016,7.477121254719663,6.0563627879676165,3.4531653925258574,162799.0,19.0,15.0,47,259,pos,51892.0,90975.91176470589,28998.470588235294,5.211651732888466,4.958926416799041,0.7102930344334096,2.4345689040341987,4.715100409415783,10.274998369241182
