,title,genre,url,revenue_to_data
0,"Angry Monk: Reflections on Tibet, The",Documentary,https://www.the-numbers.com/movie/Angry-Monk-Reflections-on-Tibet-The#tab=summary,2125.0
1,After Dark's Horrorfest III,Horror,https://www.the-numbers.com/movie/After-Darks-Horrorfest-III#tab=summary,66456.0
2,Ai Zai Lan Man Shi,Drama,https://www.the-numbers.com/movie/Ai-Zai-Lan-Man-Shi-(China)(2009)#tab=summary,120000.0
3,Bride Wars,Comedy,https://www.the-numbers.com/movie/Bride-Wars#tab=summary,147999420.0
4,"Che, Part 2: Guerrilla",,https://www.the-numbers.com/movie/Che-Part-2-Guerrilla#tab=summary,18826.0
5,Kaerlighed Pa Film,Drama,https://www.the-numbers.com/movie/Kaerlighed-Pa-Film#tab=summary,75465.0
6,Not Easily Broken,Drama,https://www.the-numbers.com/movie/Not-Easily-Broken#tab=summary,26348932.0
7,Stellet licht,Drama,https://www.the-numbers.com/movie/Stellet-licht#tab=summary,60200.0
8,The Unborn,Horror,https://www.the-numbers.com/movie/Unborn-The-(2009)#tab=summary,90225168.0
9,Yonkers Joe,Drama,https://www.the-numbers.com/movie/Yonkers-Joe#tab=summary,8286.0
10,Idiots and Angels,Comedy,https://www.the-numbers.com/movie/Idiots-and-Angels#tab=summary,0.0
11,Ballerina,Documentary,https://www.the-numbers.com/movie/Ballerina-(2007)#tab=summary,114507.0
12,Chandni Chowk to China,Musical,https://www.the-numbers.com/movie/Chandni-Chowk-to-China#tab=summary,921738.0
13,Defiance,Drama,https://www.the-numbers.com/movie/Defiance#tab=summary,67337294.0
14,Hanami,Drama,https://www.the-numbers.com/movie/Hanami#tab=summary,104433.0
15,Hotel for Dogs,Adventure,https://www.the-numbers.com/movie/Hotel-for-Dogs#tab=summary,156023662.0
16,My Bloody Valentine,Horror,https://www.the-numbers.com/movie/My-Bloody-Valentine#tab=summary,124978805.0
17,Notorious,Drama,https://www.the-numbers.com/movie/Notorious-(2009)#tab=summary,67960782.0
18,Owl and the Sparrow,Drama,https://www.the-numbers.com/movie/Owl-and-the-Sparrow#tab=summary,47071.0
19,Paul Blart: Mall Cop,Adventure,https://www.the-numbers.com/movie/Paul-Blart-Mall-Cop#tab=summary,244164339.0
20,The Village Barbershop,Drama,https://www.the-numbers.com/movie/Village-Barbershop-The#tab=summary,2359.0
21,Beyond the Epic Run,Documentary,https://www.the-numbers.com/movie/Beyond-the-Epic-Run#tab=summary,0.0
22,Donkey Punch,Thriller/Suspense,https://www.the-numbers.com/movie/Donkey-Punch#tab=summary,814801.0
23,Inkheart,Adventure,https://www.the-numbers.com/movie/Inkheart#tab=summary,75934453.0
24,Killshot,Thriller/Suspense,https://www.the-numbers.com/movie/Killshot#tab=summary,18643.0
25,The Lodger,,https://www.the-numbers.com/movie/Lodger-The#tab=summary,0.0
26,Made in Jamaica,Documentary,https://www.the-numbers.com/movie/Made-in-Jamaica#tab=summary,3149.0
27,Of Time and the City,Documentary,https://www.the-numbers.com/movie/Of-Time-and-the-City#tab=summary,32677.0
28,Outlander,Action,https://www.the-numbers.com/movie/Outlander#tab=summary,4574112.0
29,Perro come perro,,https://www.the-numbers.com/movie/Perro-come-perro#tab=summary,80.0
30,Underworld 3: Rise of the Lycans,Action,https://www.the-numbers.com/movie/Underworld-3-Rise-of-the-Lycans#tab=summary,135687037.0
31,Blessed is the Match: The Life and De…,Documentary,https://www.the-numbers.com/movie/Blessed-is-the-Match-The-Life-and-Death-and-Hannah-Senesh#tab=summary,18654.0
