,id,title,budget,revenue,genres,production_companies,production_countries,release_date,runtime
0,745068,"Presidents, Politics, & Prophecy",25000,0,"[{'id': 99, 'name': 'Documentary'}]",[],[],,77
1,745107,The Bateman Lectures on Depression,5000,0,"[{'id': 35, 'name': 'Comedy'}]",[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-06-15,78
2,745109,Marmalade,60000,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","[{'id': 140501, 'logo_path': None, 'name': 'A Cowboy Named Danger Productions', 'origin_country': ''}, {'id': 126513, 'logo_path': None, 'name': 'Lane E Productions', 'origin_country': ''}, {'id': 140502, 'logo_path': None, 'name': 'Rated Elle Productions', 'origin_country': ''}]",[],,26
3,745116,Colina Ceiuci,200,0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]","[{'id': 140503, 'logo_path': None, 'name': 'Casa 1895', 'origin_country': ''}]",[],,0
4,745147,Can You Bring It? Bill T. Jones and D-Man in the Waters,750000,0,"[{'id': 99, 'name': 'Documentary'}]",[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,0
5,745179,Boo! The Movie,25000,0,"[{'id': 27, 'name': 'Horror'}]","[{'id': 140515, 'logo_path': None, 'name': 'Boo! Productions, Inc.', 'origin_country': ''}]",[],2002-10-27,94
6,745226,Hanging Elizabeth Reed: A Ghost Story,1712,0,[],[],[],,72
7,745239,Ima Machet Icha Tangkhai,1500,0,[],[],[],,150
8,745342,Lonely Hearts,10000,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",[],[],2020-10-27,16
9,745373,B E A N S,10,595,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 140540, 'logo_path': None, 'name': 'earthed films', 'origin_country': ''}]",[],,35
10,745424,Death (And Disco Fries),5000,0,[],[],[],,10
11,745456,Breakfast With Benjamin,500,0,[],[],[],,5
12,745502,white mass,1,0,"[{'id': 35, 'name': 'Comedy'}]","[{'id': 140540, 'logo_path': None, 'name': 'earthed films', 'origin_country': ''}]",[],,69
13,745732,Blood Vendetta,60000,0,"[{'id': 28, 'name': 'Action'}, {'id': 10752, 'name': 'War'}]","[{'id': 134034, 'logo_path': None, 'name': 'Unknown World Pictures', 'origin_country': ''}, {'id': 140582, 'logo_path': None, 'name': 'Night Shade Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'VN', 'name': 'Vietnam'}]",2021-09-18,0
14,745737,Halloween : Prodigal Son,12000,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 134034, 'logo_path': None, 'name': 'Unknown World Pictures', 'origin_country': ''}, {'id': 140582, 'logo_path': None, 'name': 'Night Shade Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'PT', 'name': 'Portugal'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-10-31,0
15,745771,House of the Dead - Director's Cut,12000000,13800000,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 15127, 'logo_path': None, 'name': 'Boll KG', 'origin_country': ''}, {'id': 8068, 'logo_path': None, 'name': 'Mindfire Entertainment', 'origin_country': ''}, {'id': 113750, 'logo_path': '/A3QVZ9Ah0yI2d2GiXUFpdlbTgyr.png', 'name': 'SEGA', 'origin_country': 'JP'}, {'id': 1063, 'logo_path': '/fpVBhNnopOZwGuF0gg99oBHp1ht.png', 'name': 'Brightlight Pictures', 'origin_country': 'CA'}]",[],2008-09-09,90
16,745805,Not the beach but it's not that bad,936,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",[],[],,0
17,745850,A Hotel on the Niagara River,400,0,[],[],[],2020-08-13,12
18,745853,Monotonia,6000,0,[],[],[],2019-07-09,28
19,745855,You Shouldn't Leave Here,2500,0,[],[],[],2020-06-26,50
20,745880,The Laird Walks in the Park,5,0,"[{'id': 16, 'name': 'Animation'}]",[],[],2020-09-22,1
21,745897,Doesn't Fall Far,25000,0,"[{'id': 18, 'name': 'Drama'}]","[{'id': 140605, 'logo_path': None, 'name': 'ForeSee Film Productions', 'origin_country': ''}]",[],2020-09-22,15
22,745924,Into Thin Air,250,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 19121, 'logo_path': None, 'name': 'Lazer Film Productions', 'origin_country': ''}]",[],1994-02-11,83
23,745925,Over the Threshold,5000,0,"[{'id': 18, 'name': 'Drama'}]","[{'id': 140605, 'logo_path': None, 'name': 'ForeSee Film Productions', 'origin_country': ''}]",[],2019-08-06,12
24,745937,Linkin Park: Rock in Rio USA,25,0,[],[],[],2015-05-09,0
25,745943,Vouta,20000,0,[],"[{'id': 7255, 'logo_path': '/aHu0SirjV9Mi0OrlnFWqZwy50wW.png', 'name': 'EPT', 'origin_country': 'GR'}]","[{'iso_3166_1': 'GR', 'name': 'Greece'}]",,18
26,745958,Soulmate,500,0,[],[],[],2013-04-29,0
27,745985,Our Mobile Lives,3000,0,"[{'id': 99, 'name': 'Documentary'}]","[{'id': 140617, 'logo_path': None, 'name': 'PATM Productions', 'origin_country': ''}]",[],2014-10-12,58
