title, weekend_rev, weekend_rev_mean
Toy Story,29140617,11860
Jumanji,11084370,4456
Grumpier Old Men,7797185,3908
Waiting to Exhale,14126927,11274
Heat,8445656,6374
Sabrina,5563259,3055
Tom and Huck,3210458,1995
Sudden Death,4782445,2845
GoldenEye,26205007,9825
Balto,1519755,1065
Nixon,2206506,4292
Cutthroat Island,2371415,1464
Casino,9946480,6155
Sense and Sensibility,721341,10304
Four Rooms,427733,1527
Money Train,10608297,4206
Get Shorty,12700007,7878
Copycat,5170522,3719
Assassins,9378637,4002
Powder,7146973,4489
Leaving Las Vegas,70864,10123
Now and Then,7440173,4732
Persuasion,30986,30986
Shanghai Triad,209098,9504
Dangerous Minds,14931503,11076
Twelve Monkeys,184776,61592
Babe,8742545,5495
Carrington,151722,12643
Dead Man Walking,118266,29566
It Takes Two,5564147,3519
Clueless,10612443,6420
Richard III,91915,22978
Dead Presidents,7943778,7348
Restoration,75514,15102
Mortal Kombat,23283887,9617
To Die For,386510,35137
How To Make An American Quilt,5790445,3850
Pocahontas,2689714,448285
Guardian Angel,12624,6312
Mighty Aphrodite,326494,17183
Georgia,55461,18487
Home for the Holidays,4007717,4007
Eye for an Eye,6968044,4560
Two If by Sea,4656986,2720
Bio-Dome,4999979,3311
Two Bits,9299,4649
Friday,6589341,7617
From Dusk Till Dawn,10240805,5110
Fair Game,4946332,2537
Kicking and Screaming,20159925,5835
Bed of Roses,6117558,3959
Big Bully,1131094,989
Screamers,2904140,1861
White Squall,3908514,2564
Dunston Checks In,2996891,2323
Black Sheep,10593609,5180
Nick of Time,2781601,1504
Mary Reilly,2812620,1913
Vampire in Brooklyn,7045379,3053
Beautiful Girls,2761790,3672
Broken Arrow,15583510,6525
Shopping,1983,1983
City Hall,6950794,3829
Bottle Rocket,124118,4432
Unforgettable,1442215,916
Happy Gilmore,8514125,4210
Muppet Treasure Island,7906689,3819
Catwalk,9560,9560
Braveheart,9938276,4883
Rumble in the Bronx,9858380,5678
Before and After,4023815,3064
Anne Frank Remembered,26697,6674
If Lucy Fell,1308088,1090
Steal Big Steal Little,1761890,1631
Race the Sun,1116504,916
Boomerang,13640706,6413
Chungking Express,32779,8194
Flirting with Disaster,164458,23494
Frankie Starlight,12694,2538
Jade,4284246,1979
Down Periscope,7231087,3576
Man of the Year,12299380,4890
Target,2670522,2461
Bad Boys,15523358,7281
Apollo 13,25353380,11540
Rob Roy,2023272,15212
Batman Forever,52784433,18572
Beyond Rangoon,2007527,2503
Blue in the Face,104365,6522
Canadian Bacon,53349,3810
Casper,16840385,6205
Clockers,4463560,3695
Congo,24642539,9302
Crimson Tide,18612190,7813
Crumb,19859,19859
Desperado,7910446,3902
Devil in a Blue Dress,5422385,3786
Feast of July,22818,5704
First Knight,10856442,5023
Hackers,3173101,1751
Jeffrey,185909,18590
Johnny Mnemonic,6033850,2972
Judge Dredd,12291536,5576
Jury Duty,4831622,2227
Kids,85709,42854
Living in Oblivion,47965,23982
Lord of Illusions,4800258,3131
Mallrats,1153838,1354
Moonlight and Valentino,1250912,1869
Mute Witness,560048,1972
Nadja,23846,23846
Nine Months,12522240,8588
Party Girl,57237,8176
Reckless,2446016,2726
Safe,15830,15830
Showgirls,8112627,5844
Smoke,70744,17686
Something to Talk About,11115697,7361
Species,17161943,7429
Strange Days,31062,31062
Three Wishes,2601093,1694
Total Eclipse,131269,2524
Unstrung Heroes,185183,18518
Unzipped,71275,35637
Waterworld,21171780,9335
Wild Bill,987515,1274
Bushwhacked,2988468,1785
Burnt by the Sun,60074,6674
Before Sunrise,1423537,3921
Billy Madison,6639080,3620
Boys on the Side,4808873,3637
Circle of Friends,125587,31396
Clerks,31665,15832
Don Juan DeMarco,4556274,4104
Disclosure,10068126,6010
Drop Zone,6143566,3041
Destiny Turns on the Radio,676659,600
Death and the Maiden,74366,12394
Dolores Claiborne,5721920,4705
Dumb and Dumber,16363442,6687
Eat Drink Man Woman,155512,11108
Exotica,100654,14379
Exit to Eden,3012695,1804
Ed Wood,71566,35783
French Kiss,9018022,5239
Forget Paris,5812656,5437
Hideaway,5213455,2743
Fluke,1435709,1196
Gordy,1591229,1406
Hoop Dreams,18396,6132
Heavenly Creatures,31592,15796
Houseguest,5831302,4710
Immortal Beloved,120108,30027
Heavyweights,6062857,3104
Interview with the Vampire,36389705,13975
Jefferson in Paris,61349,30674
Junior,9803145,5605
Just Cause,10607932,5169
Kiss of Death,5317066,3276
Star Wars,64820970,21825
Little Women,2411247,1604
Like Water for Chocolate,23600,11800
Legends of the Fall,101670,16945
Major Payne,7011225,3699
Love Affair,5438758,3431
Losing Isaiah,2520972,2764
Man of the House,9473317,4706
Mixed Nuts,2307850,1751
Milk Money,5846533,4295
Miracle on 34th Street,2753208,2314
Miami Rhapsody,71421,35710
My Family,2164840,5241
Murder in the First,4719188,3815
Nell,62663,31331
New Jersey Drive,1395028,6642
Natural Born Killers,11166687,7395
Only You,5711738,3569
Outbreak,13420387,6058
Pulp Fiction,9311882,6959
Panther,2354847,3302
Pushing Hands,9567,4783
Priest,113430,14178
Quiz Show,757714,28063
Picture Bride,44380,8876
Roommates,4038033,3199
Stuart Saves His Family,371898,929
Stargate,16651018,8190
Shallow Grave,105614,17602
