title,views,likes,dislikes
12 Rounds,995281.0,830.0,61.0
127 Hours,6420394.5,14847.5,356.5
13 Assassins,3721693.0,4543.0,207.0
13 Sins,1017008.0,910.0,68.0
17 Again,988458.0,1892.0,98.0
17 Girls,253689.0,102.0,44.0
1911,7851.0,11.0,0.0
2 Guns,136371.0,569.0,19.0
20 Feet from Stardom,781599.0,1733.0,80.0
2012,1885758.0,2412.0,425.0
20th Century Women,333502.0,1630.0,222.0
21 Jump Street,3797745.0,6730.0,318.0
3 Idiots,4019400.0,5309.0,576.0
30 Minutes or Less,233588.0,601.5,25.5
42,196757.66666666666,634.6666666666666,25.333333333333332
47 Meters Down,4267746.5,567.0,321.5
47 Ronin,447431.0,332.0,23.0
5 Days of War,187674.5,219.5,193.0
5 Flights Up,997325.0,2656.0,129.0
50 to 1,473294.0,675.0,27.0
99 Homes,744053.0,551.0,22.0
A Better Life,10512.0,10.0,0.0
A Coffee in Berlin,627207.0,909.0,36.0
A Cure for Wellness,5690667.4,6984.2,461.4
A Ghost Story,2747660.0,14623.0,1039.0
A Hologram for the King,162799.0,19.0,15.0
A Monster Calls,660178.1428571428,1680.1666666666667,296.3333333333333
A Most Violent Year,617666.0,480.0,18.0
A Most Wanted Man,1167579.5,1159.0,132.5
A Perfect Man,381435.0,168.0,33.0
A Prophet,190693.0,94.0,8.0
A Quiet Passion,29932.0,25.0,3.0
A Royal Affair,106575.0,326.0,19.0
A Street Cat Named Bob,1800836.0,12196.0,220.0
A Tale of Love and Darkness,88620.0,161.0,21.0
A Teacher,455384.5,221.5,71.5
A Thousand Words,10924.0,6.0,0.0
A United Kingdom,24813.909090909092,20.0,3.8181818181818183
ATM,288188.0,309.0,81.0
About Cherry,1368423.0,622.0,154.0
About Last Night,7218219.0,18135.0,713.0
About Time,1887262.0,3695.0,195.0
Act of Valor,44248.0,20.0,0.0
Admiral,25787.5,64.0,1.0
Admission,363916.0,383.0,39.0
Adore,1704003.0,1491.0,184.0
Adventureland,1026308.0,1506.5,359.5
Afflicted,3302951.0,5630.0,530.0
Aftershock,574419.0,1269.0,580.0
Agneepath,6494021.0,8977.0,899.0
Agora,2006578.0,2776.0,174.0
Albert Nobbs,128728.5,326.0,16.5
Aliens in the Attic,1233200.0,1396.0,145.0
All About Steve,1277886.0,1400.5,111.0
All Is Lost,32399.0,20.0,3.0
Allegiant,1757619.125,10072.42857142857,709.5714285714286
Aloft,40795.0,40.0,6.0
Alone Yet Not Alone,115845.0,558.0,46.0
Alpha and Omega,5266.0,9.0,0.0
Amelia,1500392.0,1638.0,128.0
Amen,63766.0,146.0,12.0
American Reunion,3714093.0,7193.0,230.0
American Sniper,11073997.5,33357.0,2804.5
American Ultra,597171.6666666666,3042.6666666666665,118.66666666666667
Amour,8112.0,22.0,3.0
An Education,49793.0,37.0,2.0
And So It Goes,139229.0,94.0,18.0
Animal Kingdom,874522.0,714.0,87.0
Anjaana Anjaani,85762.0,319.0,16.0
Annie,5505717.0,19999.0,3055.0
Anomalisa,246054.0,663.75,37.75
Anonymous,2623721.5,4494.0,424.5
Another Earth,3157225.0,5694.0,405.0
